INDEX,Bsku,Manufac,Name,Flavor,Size,Minimum
00096,02487,Black Magic,Oil Sheen Cherry,,10.5oz,12
00097,02488,Black Magic,Oil Sheen Coconut,,10.5oz,12
00098,02490,Black Magic ,Moisturizing Gel,,8oz,12
00099,02830,*Parnevu ,Sheen & Shine 18pc Display,,,1
00100,02832,Parnevu,T-Tree Oil Sheen,,12oz,6
00101,02834,Parnevu,T-Tree Braid Spray,,12oz,6
00102,02842,Parnevu,T-Tree Shampoo,,12oz,6
00103,02844,Parnevu,T-Tree Break Control,,6oz,6
00104,02846,Parnevu,T-Tree Growth Cream,,6oz,6
00105,02852,Parnevu,Leave-In Conditioner Dry,,16oz,6
00106,02853,Parnevu,Leave-In Conditioner Regular,,16oz,6
00107,02857,Parnevu,T-Tree Relaxer Kit Regular,Regular,,6
00108,02859,Parnevu,T-Tree Relaxer Kit Super,Super,,6
00109,02864,Parnevu,T-Tree Scalp Oil,,2oz,12
00110,03000,*At One with Nature,Lip Balm 48 ct,,,1/8
00111,03003,At One with Nature,Reconstructor Conditioner,,8oz,12
00112,03007,At One with Nature,Scalp Shampoo,,8oz,12
00113,03009,At One with Nature,Leave-In Conditioner,,8oz,12
00114,03013,At One with Nature,No Lye Relaxer Kit Regular,Regular,,12
00115,03015,At One with Nature,No Lye Relaxer Kit Super,Super,,12
00116,03025,Naturally Clear Skin,Sensuous Body Butter,,6oz,12
00117,03705,Soft & Precious,Baby Oil Gel,,6.5oz,12
00118,03710,Soft & Precious,Nursery Jelly Frangrance Free,,13oz,12
00119,03715,Soft & Precious,Nursery Jelly Aloe & Vitamin E,,13oz,6
00120,03725,Soft & Precious,Liquid Baby Powder ,,7.5oz,12
00121,03810,Black & Beautiful,Carrot Gro 50% Free,,6.7oz,12
00122,03900,*Citruscent,Air Freshener 8oz 18pc Display,,,1
00123,07010,Culture,Strength Conditioner,,8oz,6/24
00124,07020,Culture,Wet or Dry Detangler,,8oz,6/24
00125,07025,Culture,Wrap & Smooth Creme,,4oz,6
00126,07030,Culture,7-day Relaxer,,4oz,6
00127,07045,Culture,Moisturade Treatment,,4oz,6
00128,08100,*Socks,Bulk Pack 288ct,,,1
00129,08110,*Panties,Bulk Pack 180ct,,,1
00130,08120,*Bras,Bulk pack 144ct,,,1
00131,08130,*Ultra Sheer,Panty Hose,Queen Size,144ct,1
00132,08140,*Ultra Sheer,Panty Hose,Regular Size,144ct,1
00133,08150,*Lip Gloss Display,72ct,,,1/24
00134,08160,*Tinkle,Eyebrow Razor 36pc Display,,,1/27
00135,09200,Darbee,Protect-A-Cap 3 Pack,Clear,,12/144
00136,09202,Darbee,Protect-A-Cap 3 Pack,Color,,12/144
00137,09233,Hollywood,Protect-A-Cap 3 Pack,Black,,12/144
