INDEX,Bsku,Manufac,Name,Flavor,Size,Minimum
03037,12797,Avatar,Junior Hair Color Rinse,Crimson #208,2oz,6/240
03038,53479,*Luster's,Renutrients 14pc Display,,,1
03039,89855,Mane 'N Tail,Olive Oil Complex Herbal Gro Shampoo,,12oz,6
03040,89857,Mane 'N Tail,Olive Oil Complex Herbal Gro Conditioner,,12oz,6
03041,89860,Mane 'N Tail,Olive Oil Complex Herbal Gro Spray Therapy,,6oz,6
03042,89864,Mane 'N Tail,Olive Oil Complex Herbal Gro Leave-In Crème Therapy,,5.5oz,6
03043,94270,B&C Skin Tight,Clearing Cleanser,,3.5oz,12
03044,53480,Luster's,Pink Kit w/free Pink Sheer 2oz,Regular,,12
03045,53481,Luster's,Pink Kit w/free Pink Sheer 2oz,Super,,12
03046,16770,Kids Originals,Detangling Lotion 12oz w/free Shea Butter Shampoo 6oz,,,12
03047,16771,Kids Organics,Pomade 4oz w/free Hair & Scalp Lotion 4oz,,,12
03048,16772,Africa's Best,Organics Olive Oil Hair Polish 6oz w/free Olive Oil Deep Conditioner 4oz,,,12
03049,16773,Africa's Best,Organics Olive Oil Growth Lotion,,12oz+4oz,12
03050,16774,Africa's Best,Super Gro Max 5.25oz w/free Herbal Oil 2oz,,,12
03051,67828,Ambi,Soft & Even Oil Lotion,,12oz,3/12
03052,80176,*Sulfur 8,Fresh 24pc Display,,,1
03053,89951,*Black and White,Soap 36pc Display,,,1
03054,29830,*Fantasia ic,Olive Anti-Break 12pc Display,,,6
03055,40200,*Blistex,Lip Medex .25oz 48pc Display,,,6
03056,12150,Just 5,Hair Color Jet Black #4132,,,3/12
03057,12152,Just 5,Hair Color Rich Black #4133,,,3/12
03058,12154,Just 5,Hair Color Dark Brown #4131,,,3/12
03059,12156,Just 5,Hair Color Rich Auburn #4130,,,3/12
03060,12158,Just 5,Hair Color Black #4105,,,3/12
03061,45908,Ultra Glow,Skin Tone Cream Normal 3.6oz w/free Soap 1.25oz,,,12
03062,45909,Ultra Glow,Skin Tone Cream Oily 3.6oz w/free Soap 1.25oz,,,12
03063,93101,Vitale Professional,Life & Body Relaxer,,64oz,6
03064,65558,ORS,Olive Oil Replenishing Conditioner,,12.25oz,12
03065,02065,Andis Professional,#17010 ProFoil Shaver,,,6
03066,93001,Vigorol,Hair Food w/Carrot,,7.8oz,12
03067,93002,Vigorol,Indian Hemp Regular,,8oz,12
03068,93004,Vigorol,Indian Hemp Light,,8oz,12
03069,24354,Creme of Nature Professional,Relaxer Jar Sunflower & Coconut Oil Mild,Mild,15oz,12
03070,24356,Creme of Nature Professional,Relaxer Jar Sunflower & Coconut Oil Regular,Regular,15oz,12
03071,24358,Creme of Nature Professional,Relaxer Jar Sunflower & Coconut Oil Mild,Mild,64oz,6
03072,24360,Creme of Nature Professional,Relaxer Jar Sunflower & Coconut Oil Regular,Regular,64oz,6
03073,24364,Creme of Nature Professional,Moisture Extreme Conditioner,,20oz,12
03074,24374,Creme of Nature Professional,Moisture Extreme Conditioner,,32oz,12
03075,24362,Creme of Nature Professional,Nourishing & Strengthening Treatment,,15oz,12
03076,24366,Creme of Nature Professional,Shampoo Detangling & Conditioning,,20oz,12
03077,24368,Creme of Nature Professional,Shampoo Ultra Moisturizing,,20oz,12
03078,24370,Creme of Nature Professional,Shampoo Scalp Relief,,20oz,12
03079,24376,Creme of Nature Professional,Shampoo Detangling & Conditioning,,32oz,12
03080,24378,Creme of Nature Professional,Shampoo Ultra Moisturizing,,32oz,12
03081,24380,Creme of Nature Professional,Shampoo Scalp Relief,,32oz,12
03082,24384,Creme of Nature Professional,Shampoo Detangling & Conditioning,,1 Gal,4
03083,24372,Creme of Nature Professional,Shampoo Neutralizing & Conditioning,,20oz,12
03084,24382,Creme of Nature Professional,Shampoo Neutralizing & Conditioning,,32oz,12
03085,37415,Bonfi Natural,Natural Oil Free Wig Shine,,2oz,48
03086,37401,*Wet-N-Wavy,Tangle Free Spray 2oz 24pc Display,,,1
03087,10703,*Palmer's,Lip Balm .15oz 12pc Display,,,1
03088,10704,*Palmer's,Mint Lip Gloss .35oz 12pc Display,,,1
03089,24350,Creme of Nature Professional,Oil Infusion No-Lye Relaxer Regular,Regular,2 pack,12
03090,24351,Creme of Nature Professional,Oil Infusion No-Lye Relaxer Sensitive,Sensitive,2 pack,12
03091,24352,Creme of Nature Professional,Oil Infusion No-Lye Relaxer Regular,Regular,4 Pack,6
03092,24353,Creme of Nature Professional,Oil Infusion No-Lye Relaxer Sensitive,Sensitive,4 Pack,6
03093,94248,B&C Skin Tight,Ingrown Hair Razor Bump Creme Extra Strength,,.5oz,12
03094,10050,Hype Hair,"1/2"" Curling Iron #2010",,,4
03095,10055,Hype Hair,"3/4"" Curling Iron #2011",,,4
03096,10060,Hype Hair,"1-1/4"" Curling Iron #2012",,,4
03097,10065,Hype Hair,Straightening Comb #2013,,,4
03098,10902,Don's Come Back,Hair Creme,,4oz,12
03099,75053,*ApHogee,Two-Step Protein Treatment 1oz 12pc Display,,,6
03100,02250,Black Opal,Fade Solution Kit,,,3/12
03101,65551,ORS,Creamy Aloe Shampoo 16.25oz 30% Free,,,12
03102,82267,Profectiv,Anti-Damage Relaxer Kit Regular,Regular,,6
03103,82268,Profectiv,Anti-Damage Relaxer Kit Super,Super,,6
03104,43386,Hollywood,Olive Creme 5oz Buy 2 Get 1 Free,,,16
03105,29150,Elasta QP,Scalp Stimulating Conditioner,,10oz,6
03106,67953,*Kuza,Indian Hemp 4oz 24 pcs w/free T-Shirt,,,1
03107,43307,Hollywood,Olive Pomade 40% FREE,,10.5oz,6
03108,16775,Africa's Best,Organics Hair Therapy 4oz w/free Herbal Tea Tree Gro 4oz,,,12
03109,10727,Palmer's,Shea Butter Jar 30% Free,,9.5oz,3/6
03110,65559,ORS,Replenishing Conditioner 15.93oz 30% Free,,,12
03111,93039,Vigorol,Mousse Curls,,9.25oz+2oz,12
03112,10799,Palmer's,Mens Cocoa Butter Lotion ,,8.5oz+3.5oz,1
03113,10798,Palmer's,Cocoa Butter Gentle Daily Cleanser,,5.25oz,1
03114,54101,*Lustrasilk,Growth Therapy 7.5oz 24pc Display,,,1
03115,37010,Porcelana,Nighttime Fade Cream,,3oz,6
03116,37011,Porcelana,Daytime Fade Cream,,3oz,6
03117,37039,Got2b,Spiking Glue Water Resistant,,6oz,6
03118,93059,Vigorol,Mousse Olive Oil,,9.25oz+2oz,12
03119,14385,Dark & Lovely,Hair Color w/free Nail Polish,Honey Blonde,,12
03120,14386,Dark & Lovely,Hair Color w/free Nail Polish,Brown Sugar,,12
03121,14387,Dark & Lovely,Hair Color w/free Nail Polish,Golden Bronze,,12
03122,14389,Dark & Lovely,Hair Color w/free Nail Polish,Light Gold,,12
03123,14390,Dark & Lovely,Hair Color w/free Nail Polish,Natural Black,,12
03124,14391,Dark & Lovely,Hair Color w/free Nail Polish,Red Hot,,12
03125,14392,Dark & Lovely,Hair Color w/free Nail Polish,Sun Brown,,12
03126,22003,Gonesh,Incense Number 14,,20 sticks,4
03127,22041,Gonesh,Incense Lavender,,20 sticks,4
03128,22043,Gonesh,Incense Ocean,,20 sticks,4
03129,53482,Luster's,S-Curl Texturizer Stylin' Gel,,16oz,12
03130,53483,Luster's,S-Curl Wave Jel Activator Regular,,24oz,12
03131,53484,Luster's,S-Curl Wave Jel Activator Lite,,24oz,12
03132,16624,Africa's Best,Originals Hair Mayonnaise,,15oz+3oz,12
03133,80177,Black and White,Cocoa Butter Soap Bar,,6.1oz,12
03134,80178,Black and White,Cupuacu Soap Bar,,6.1oz,12
03135,80179,Black and White,Carrot Soap Bar,,6.1oz,12
03136,80180,Black and White,Peppermint Soap Bar,,6.1oz,12
03137,80181,Black and White,Olive Oil Soap Bar,,6.1oz,12
03138,66624,Noxzema,Deep Cleansing Cream,,2.5oz,12/48
03139,66628,Noxzema,Deep Cleansing Cream,,14oz,3/12
03140,66818,Neutrogena,Body Oil,,8.5oz,6/24
03141,37307,Smooth 'N Shine,Silk Fusion 60 Second Critical Repair,,13.5oz,6
03142,21051,*Hi-Pro-Pac,Conditioner for Extremely Damaged Hair 1oz 12pc Display,,,1/12
03143,21055,*Hi-Pro-Pac,Conditioner with Placenta & Vitamin E 1oz 12pc Display,,,1/12
03144,80060,Pierre LaTouche,Body & Hand Lotion,,16oz,12
03145,64001,Dr. Organics,Almond Castile Soap w/Shea Butter,,16oz,12
03146,64002,Dr. Organics,Lavender Castile Soap w/Shea Butter,,16oz,12
03147,64003,Dr. Organics,Peppermint Castile Soap w/Shea Butter,,16oz,12
03148,64000,Dr. Organics,Tea Tree Castile Soap w/Shea Butter,,16oz,12
03149,64011,Dr. Organics,Almond Castile Soap w/Shea Butter,,32oz,12
03150,64012,Dr. Organics,Lavender Castile Soap,,32oz,12
03151,64013,Dr. Organics,Peppermint Castile Soap w/Shea Butter,,32oz,12
03152,64010,Dr. Organics,Tea Tree Castile Soap w/Shea Butter,,32oz,12
03153,37646,Cantu,Shea Natural Olive Oil,,6oz,6
03154,93130,Vitale,Olive Oil Relaxer Kit Regular,,,12
03155,93132,Vitale,Olive Oil Relaxer Kit Super,,,12
03156,13006,Clear Essence,Skin Beautifying Milk Sensitive,,8oz,24
03157,13010,Clear Essence,Vitamin E Complexion Soap,,5oz,12
03158,53485,Luster's,Pink Smooth Touch Go Glitz Olive Oil Sheen Spray,,11.5oz,6
03159,53486,Luster's,Pink Smooth Touch Hydration Vibe Olive Oil Hair Lotion,,12oz,6
03160,53487,Luster's,Pink Smooth Touch A Reason To Gloss Shine Polish,,6oz,6
03161,75049,ApHogee,Shampoo for Damaged Hair 16oz/Keratin Reconstructor 8oz,,,6
03162,75069,ApHogee,2-Step Treatment 4oz/Balancing Moisturizer 8oz/Polisher Packet,,,12
03163,14905,*Dr. Miracle's,Goodbye Acne System Kit 9pc Display,,,1
03164,54023,Lustrasilk,Right On Curl Activator 16oz at 8oz price,,,6
03165,75012,ApHogee,Two-Step Protein Treatment 16oz/Balancing Moisturizer 8oz/Shampoo for Damaged Hair 16oz,,,6
03166,75013,ApHogee,Two-Step Protein Treatment 16oz/Balancing Moisturizer 8oz/Gloss Therapy Polisher 6oz,,,6
03167,43309,Hollywood,Olive Creme 7.5oz w/free Olive Shine Moisturizer 2oz,,,6
03168,43310,Hollywood,Olive Creme 7.5oz w/free Mayonnaise Creme Oil 2oz,,,6
03169,43316,Hollywood,Carrot Creme 7.5oz w/free Carrot Root Moisturizer 2oz,,,6
03170,29800,*Fantasia ic,Organic Hair Miracle 5oz 12pc Display,,,2
03171,43317,Hollywood,Body Butter Creme 12oz w/free Mayonnaise Creme Oil 2oz,,,6
03172,64004,Dr. Organics,Black Castile Soap w/Shea Butter,,16oz,12
03173,64014,Dr. Organics,Black Castile Soap w/Shea Butter,,32oz,12
03174,88672,Jergens,Skin Firming Lotion 25% More,,21oz,6
03175,88674,Jergens,Shea Butter Lotion 25% More,,21oz,6
03176,30451,Revlon,"Amber Wave Curling Iron 1"" #RV663",,,12
03177,30467,Revlon,"Amber Wave Curling Iron 1 1/2"" #RV662",,,12
03178,02280,Black Opal,Fade Gel,,.90oz,3/12
03179,02286,Black Opal,Pre-Fade Complexion Bar,,3.5oz,6/12
03180,65546,ORS,Restoration Starter Kit,,,12
03181,64919,Murray's,Beeswax,,8.25oz,12
03182,16776,Africa's Best,Organics Olive Oil Shampoo 12oz w/free Organics Conditioner 4oz,,,12
03183,54532,Red Fox,Tub O'Butter Olive Oil Butter,,12oz,12
03184,16778,Ultimate Organics,Stimulating Growth Oil Olive Oil,,4oz,6/24
03185,16779,Ultimate Organics,Stimulating Growth Oil Coconut Oil,,4oz,6/24
03186,16780,Ultimate Organics,Stimulating Growth Oil Tea Tree,,4oz,6/24
03187,24028,Lottabody Professional,Setting Lotion Original,,2oz,24
03188,56850,Bump Patrol,Bump Stop Treatment Regular $9.99 pre-price,,4oz,12
03189,10905,Don's,Temple Tex,,8oz,12
03190,43274,Hollywood,Carrot Creme 7.5oz w/free Carrot Cholesterol,,4oz,6
03191,10068,Hype Hair,Ceramic Straightening Iron #CS25,,,4
03192,70065,Pibbs,Stand Dryer 980 Watt #CD-320,,,1
03193,30456,Revlon,"Amber Waves 1 1/2"" Flat Iron #RV661",,,4/12
03194,30463,Revlon,Amber Waves Soft Bonnet #RV671,,,3
03195,43328,*Hollywood,Body Butter Fishbowl 2oz 48pc Display,,,1
03196,43334,*Hollywood,Apricot Scrub Fishbowl 2oz 48pc Display,,,1
03197,68100,Nature's Advantage,Shampoo Aloe Vera,,1 Gallon,4
03198,68101,Nature's Advantage,Shampoo Honey & Almond,,1 Gallon,4
03199,68102,Nature's Advantage,Shampoo Wild Cherry,,1 Gallon,4
03200,68110,Nature's Advantage,Conditioner Aloe Vera,,1 Gallon,4
03201,68111,Nature's Advantage,Conditioner Honey & Almond,,1 Gallon,4
03202,68112,Nature's Advantage,Conditioner Wild Cherry,,1 Gallon,4
03203,77780,Avon,Cologne Faraway,,1.7oz,70
03204,24359,Creme of Nature,Relaxer Mild 64oz w/free Neutralizing Shampoo 8oz,,,6
03205,72145,Deity,Color Change Shampoo Black 6 App,,,8/48
03206,10705,Palmer's,Cocoa Butter Body Oil,,8.5oz+3.5oz,6
03207,13014,Clear Essence,Vitamin C Vanishing Cream,,1.5oz,12
03208,13018,Clear Essence,Lemon Vitamin C Soap,,5oz,12
03209,13022,Clear Essence,Maxi Tone Fade Soap,,4.7oz,12
03210,04220,*Black Opal,Total Coverage 18pc Display,,,1
03211,43248,Hollywood,Apricot Scrub,,10.5oz,6
03212,91424,TCB,No Base Relaxer Jar Regular,Regular,15oz+3oz,6
03213,91426,TCB,No Base Relaxer Jar Super,Super,15oz+3oz,6
03214,91429,TCB,No Base Relaxer Jar Mild,Mild,15oz+3oz,6
03215,91351,Motions Professional,Neutralizing Shampoo,,16oz+4oz,12
03216,91831,Motions,Extra Firm Foam Wrap 8.5oz w/free Shampoo 1.5oz,,,6
03217,72135,Deity,Dandruff Shampoo,,8oz,6/36
03218,72140,Deity,Foot Patch 12 pads,,,36
03219,72142,Deity,Repair Moisturizer Lotion,,7oz,12/48
03220,73363,Queen Helene,Apricot Masque Tube,,6oz,6
03221,24184,Revlon,Aquamarine Aloe,,14.8oz,12
03222,21450,Money House Blessing,Incense Earth Assortment,,40 Sticks,3
03223,21451,Money House Blessing,Incense Floral Assortment,,40 Sticks,3
03224,21452,Money House Blessing,Incense Fruit Assortment,,40 Sticks,3
03225,21453,Money House Blessing,Incense Natural Elements Assortment,,40 Sticks,3
03226,21454,Money House Blessing,Incense Rainbow,,40 Sticks,3
03227,21455,Money House Blessing,Incense Relaxing Favorites Assortment,,40 Sticks,3
03228,12100,Just For Men,Hair Color Jet Black H-60,,,3/12
03229,12105,Just For Men,Mustache & Beard Color Jet Black M-60,,,3/12
03230,12110,Just For Men,Hair Color Real Black H-55,,,3/12
03231,12115,Just For Men,Mustache & Beard Color Real Black M-55,,,3/12
03232,12120,Just For Men,Hair Color Dark Brown H-50,,,3/12
03233,12125,Just For Men,Mustache & Beard Color Darkest Brown M-50,,,3/12
03234,21456,Money House Blessing,Incense 40 Sticks Tropical Assortment,,,3
03235,02900,*Maven,20pc Display,,,1
03236,03038,*Naturally Clear Skin,18pc Display,,,1
03237,24361,Creme of Nature,Relaxer Regular 64oz w/free Neutralizing Shampoo 8oz,,,6
03238,34029,*Hask Placenta,Henna 'n' Placenta Olive Oil 12pc Display,,,1/12
03239,10100,Gold 'N Hot Professional,Soft Bonnet Dryer #8282,,,12
03240,02008,Andis Professional,#23420 Speedmaster Clipper,,,6
03241,10155,Gold 'N Hot Professional,"Spring 1 1/2"" Iron #9207",, ,12
03242,10104,Gold 'N Hot Professional,"Spring 1"" Iron #194",, ,12
03243,10137,Gold 'N Hot Professional,"Spring 1/2"" Iron #192",, ,12
03244,10109,Gold 'N Hot Professional,"Spring 11/4"" Iron #9205",,,12
03245,10139,Gold 'N Hot Professional,"Spring 3/4"" Iron #193",, ,12
03246,10111,Gold 'N Hot Professional,"Spring 3/8"" Iron #9388",, ,12
03247,10136,Gold 'N Hot Professional,"Spring 5/8"" Iron #9436",, ,12
03248,10121,Gold 'N Hot Professional,Stand Dryer 1875 Watt #1053,,,1
03249,40670,Isoplus,Spritz Regular 10oz w/free Spritz 4oz,,,12
03250,40671,Isoplus,Natural Remedy Tea Tree & Aloe Oil Sheen,,7oz+3.5oz,12
03251,40672,Isoplus,Natural Remedy Olive Oil Oil Sheen,,7oz+3.5oz,12
03252,87481,Softee,Blue Bergamot Regular,,3.5oz,6
03253,87482,Softee,Green Bergamot Dry,,3.5oz,6
03254,87483,Softee,Coconut Oil Conditioner,,3.5oz,6
03255,87484,Softee,Hair Food,,3.5oz,6
03256,87485,Softee,Herbal Gro,,3.5oz,6
03257,87486,Softee,Indian Hemp,,3.5oz,6
03258,87488,Softee,Castor Oil Conditioner,,3.5oz,6
03259,82313,Salon Pro,30 Sec Anti-Fungus Super Hair Bond Glue 1oz & Remover Oil 2oz,,,12
03260,16781,Africa's Best,Men's Texturizing Kit w/free Texturizing Control,,4oz,12
03261,56851,Sof n' Free n' Pretty,Shampoo 12oz w/free Detangler,,12oz,6
03262,14903,Dr. Miracle's,Goodbye Acne System Kit,,,6
03263,40210,*Blistex,Lip Infusion Moisture Splash 24pc Display,,,1
03264,40212,*Blistex,Lip Infusion Cherry Splash 24pc Display,,,1
03265,02630,Gold Magic,Satin Durag Black #42001,,,6
03266,02632,Gold Magic,Satin Durag Assorted Colors #4002,,,6
03267,56565,Wonder Gro,Mega Growth Carrot,,12oz,12
03268,65505,ORS,Balm 2oz w/free Sample,,,12
03269,82660,Soft & Beautiful,Skin Body Lotion,,10.5oz,6
03270,82662,Soft & Beautiful,Skin Body Butter Cream,,6oz,6
03271,82664,Soft & Beautiful,Skin Body Oil Gel,,5.5oz,6
03272,82666,Soft & Beautiful,Skin Hand Cream,,3.3oz,6
03273,82668,Soft & Beautiful,Skin Firming Lotion,,8.5oz,6
03274,29977,Fantasia ic,Regular Hair Polisher Styling Gel,,8.7oz,12
03275,29968,Fantasia ic,Pro-Vitamin Wrap Lotion,,12oz,12
03276,29985,Fantasia ic,Pure Tea Gro,,5oz,12
03277,75022,ApHogee,Gloss Therapy Polisher Spray,,6oz,6
03278,75030,ApHogee,Spritz & Shine Styling Spray,,8oz,6
03279,54073,Lustrasilk,Olive Oil Value Pack Cholesterol 20oz,Moisture Max Hair Lotion 16oz/Moisture Max Crème Hairdress 9oz,,6
03280,54075,Lustrasilk,Olive Oil Value Pack Cholesterol 20oz,Moisture Max Hair Lotion 12oz/Vigorol Deep Moisture Treatment & Hairdress 7oz,,6
03281,54079,Lustrasilk,Olive Oil Value Pack Cholesterol 20oz,Vigorol Styling Mousse 9oz/Vigorol Deep Moisture Treatment & Hairdress 7oz,,6
03282,24000,*African Pride/Creme of Nature,60pc Prepack,,,1
03283,73334,Queen Helene,Aloe Vera Lotion,,32oz,6
03284,73374,Queen Helene,Tea Tree Lotion,,32oz,6
03285,84580,Fabu-Silk,No-Lye Relaxer Kit Regular,Regular,,12
03286,24024,Creme of Nature,Detangling Conditioning Shampoo,,8.45,3
03287,75020,ApHogee,Gloss Therapy Polisher,,4oz,12
03288,90213,NeutrLab,Oil Sheen In A Jar,,4.2oz,12
03289,37102,Smooth 'N Shine,Gel Extra Hold 6oz w/free Critical Repair Packet,,,6
03290,37108,Smooth 'N Shine,Diamond Luster Anti-Frizz Curl 'N Shape Spray Gel,,12oz,6
03291,82675,Soft & Beautiful,Style Protect Styling Spritz,,8.5oz,6
03292,82677,Soft & Beautiful,Style Protect Dry Wrap Mousse,,8oz,6
03293,82679,Soft & Beautiful,Style Protect Hair Gloss,,4.25oz,6
03294,82681,Soft & Beautiful,Style Protect Sculpting Gel,,4oz,6
03295,91919,Motions,Marula Strengthening Conditioner,,14.5oz,6
03296,91921,Motions,Marula Strengthening Shampoo,,14.5oz,6
03297,91924,Motions,Marula Strengthening Thermal Oil Treatment,,4.5oz,6
03298,82822,Just For Me,Hair Milk Nourishing Detangler,,10oz,6
03299,82824,Just For Me,Hair Milk Shampoo,,13.5oz,6
03300,82826,Just For Me,Hair Milk Conditioner,,13.5oz,6
03301,82828,Just For Me,Hair Milk Curl Perfecter,,8oz,6
03302,73220,Queen Helene,Smoothing Shampoo w/Cocoa Butter,,16oz,6
03303,73222,Queen Helene,Smoothing Conditioner w/Cocoa Butter,,16oz,6
03304,73230,Queen Helene,Strengthen & Shine Shaping Paste,,7oz,6
03305,73232,Queen Helene,Strengthen & Shine Glossing Paste,,8oz,6
03306,10768,Palmer's,Fragrance Free 17oz 25% Free,,,6
03307,10769,Palmer's,Olive Butter 17oz 25% Free,,,6
03308,02306,Bronner Bros,Smooth Sheen Oil Spray,,11oz,12
03309,37190,Smooth 'N Shine,Mousse Smoothing Silk Style,,9oz,6
03310,37186,Smooth 'N Shine,Mousse Anti-Frizz Diamond,,9oz,6
03311,73362,Queen Helene,Apricot Scrub,,6oz,6
03312,73335,Queen Helene,Cocoa Butter Scrub,,6oz,6
03313,73349,Queen Helene,Mint Julep Scrub,,6oz,6
03314,73414,FooTherapy,Foot Lotion Tea Tree,,7oz,6
03315,73416,FooTherapy,Mineral Foot Bath,,3oz,6
03316,73418,FooTherapy,Mineral Foot Bath,,1 lb,6
03317,73410,FooTherapy,Foot Scrub Apricot Walnut,,7oz,6
03318,73412,FooTherapy,Foot Scrub Cranberry Mint,,7oz,6
03319,73498,Queen Helene,Gel Hard Hold,,20oz,6
03320,73494,Queen Helene,Gel Mega Hold,,20oz,6
03321,73488,Queen Helene,Gel Sculpt & Glaze,,20oz,6
03322,73496,Queen Helene,Gel Super Hold,,20oz,6
03323,73492,Queen Helene,Gel Ultra Hold,,20oz,6
03324,73490,Queen Helene,Gel Extreme Hold,,20oz,6
03325,73339,Queen Helene,Placenta Conditioning Shampoo,,16oz,12
03326,88457,Symba,Hair Relaxer Jar Regular,Regular,7.5oz,12
03327,88459,Symba,Hair Relaxer Jar Super,Super,7.5oz,12
03328,94273,B&C Skin Tight,Bump Roll-On Regular,,3oz,12
03329,94275,B&C Skin Tight,Bump Roll-On Extra Strength,,3oz,12
03330,29919,Fantasia ic,Reconstructor,,10oz,12
03331,73252,Queen Helene,Olive Hot Oil 1oz 3 Pack,,,6
03332,90328,Dr. Fred Summit,Healing Rubbing Alcohol,,16oz,12
03333,90329,Dr. Fred Summit,Cool Blue Rubbing Alcohol,,16oz,12
03334,82670,Soft & Beautiful,Skin Moisturizing Body Polish,,8oz,6
03335,82781,Just For Me,Relaxer Kit Regular 4/Case,,,6
03336,33409,Bernard Evans,Platinum Comprehensive Conditioner,,8oz,6
03337,21040,Demert,Wig Lusterizer Pump,,8oz,12
03338,21045,Demert,Wig Net Spray Pump,,8oz,12
03339,33412,Bernard Evans,Platinum Slicker Gel,,2oz,6
03340,64040,Perfect Purity,Baby Shampoo,,15oz,12
03341,64041,Perfect Purity,Baby Oil w/Vitamin E,,12oz,24
03342,64042,Perfect Purity,Baby Lotion,,12oz,12
03343,64043,Perfect Purity,Baby Bath,,12oz,12
03344,64045,Perfect Purity,Baby Powder,,22oz,12
03345,64046,Perfect Purity,Petroleum Jelly,,8oz,12
03346,64047,Perfect Purity,Cornstarch Baby Powder,,14oz,12
03347,66700,Keri,Original Lotion,,15oz,6
03348,10742,Palmer's,Coconut Oil Shampoo,,13.5oz,3/6
03349,10744,Palmer's,Coconut Oil Conditioner,,8.5oz,3/6
03350,37192,*Smooth 'N Shine,BHM Bonus 15pc Display,,,1
03351,16782,Africa's Best,Organics Olive Oil Relaxer Kit w/free Olive Oil Shine Polish 1oz,Regular,,12
03352,16783,Africa's Best,Organics Olive Oil Relaxer Kit w/free Olive Oil Shine Polish 1oz,Super,,12
03353,14470,*Dark & Lovely,Color Confidence 15pc Display,,,1
03354,33235,*Glovers,Growth Blends 5oz 24pc Display,,,1
03355,45105,Barbicide,Disinfectant,,16oz,24
03356,68103,Nature's Advantage,Shampoo Fresh Citrus,,1 Gallon,4
03357,82226,Profectiv,Break Free,,4.25oz+4oz,6
03358,12505,Gray Magic,Bottle,,.25oz,6
03359,12506,Gray Magic,Bottle,,1oz,12
03360,90550,Sta Rite,Bronze Bobby Pins #1352,,,12/288
03361,88676,Jergens,Skin Smoothing Lotion 25% More,,21oz,6
03362,76038,Folicure,Treatment,,3 Pack,24
03363,76032,Folicure,Extra Shampoo,,12oz,12
03364,76046,Folicure,Moisturizing Conditioner,,12oz,12
03365,10740,Palmer's,Cocoa Butter Skin Therapy Oil,,5.1oz,6
03366,73235,Queen Helene,Masque Tube Avocado & Grapefruit,,6oz,6
03367,73237,Queen Helene,Masque Tube Olive Oil,,6oz,6
03368,37142,Smooth 'N Shine,Scalp and Breakage Miracle Conditioning Oil Sheen Spray,,5oz,6
03369,24355,Creme of Nature,Relaxer 15oz w/free Neutralizing Shampoo 2oz,Mild,,6
03370,24357,Creme of Nature,Relaxer 15oz w/free Neutralizing Shampoo 2oz,Regular,,6
03371,24377,Creme of Nature,Shampoo 32oz w/free Treatment 15oz,Detangling & Conditioning,,6
03372,24379,Creme of Nature,Shampoo 32oz w/free Treatment 15oz,Ultra Moisturizing,,6
03373,24381,Creme of Nature,Shampoo 32oz w/free Treatment 15oz,Scalp Relief,,6
03374,05993,Black Opal,Total Coverage Foundation w/free Invisible Oil-Blocking Powder,Truly Topaz #1435-03,,3/36
03375,05994,Black Opal,Total Coverage Foundation w/free Invisible Oil-Blocking Powder,Heavenly Honey #1435-05,,3/36
03376,05995,Black Opal,Total Coverage Foundation w/free Invisible Oil-Blocking Powder,Beautiful Bronze #1435-07,,3/36
03377,05996,Black Opal,Total Coverage Foundation w/free Invisible Oil-Blocking Powder,Hazelnut #1435-09,,3/36
03378,05997,Black Opal,Total Coverage Foundation w/free Invisible Oil-Blocking Powder,Carob #1435-10,,3/36
03379,05998,Black Opal,Total Coverage Foundation w/free Invisible Oil-Blocking Powder,Rich Caramel #1435-22,,3/36
03380,73800,V05,Shampoo Normal,,15oz,6
03381,73802,V05,Shampoo Extra Body,,15oz,6
03382,73804,V05,Conditioner Extra Body,,15oz,6
03383,73806,V05,Shampoo Split Ends Treatment,,15oz,6
03384,73808,V05,Conditioner Split Ends Treatment,,15oz,6
03385,73810,V05,Shampoo Sunkissed Raspberry,,15oz,6
03386,73812,V05,Conditioner Sunkissed Raspberry,,15oz,6
03387,73814,V05,Shampoo Free Me Freesia,,15oz,6
03388,73816,V05,Conditioner Free Me Freesia,,15oz,6
03389,73818,V05,Shampoo Kiwi & Lime Squeeze,,15oz,6
03390,73820,V05,Conditioner Kiwi & Lime Squeeze,,15oz,6
03391,73822,V05,Shampoo Strawberry & Cream,,15oz,6
03392,73824,V05,Conditioner Strawberry & Cream,,15oz,6
03393,73826,V05,Shampoo Honeydew Smoothie,,15oz,6
03394,73828,V05,Conditioner Honeydew Smoothie,,15oz,6
03395,73830,V05,Shampoo Passion Fruit,,15oz,6
03396,73832,V05,Conditioner Passion Fruit,,15oz,6
03397,73834,V05,Shampoo Green Tea Therapy,,15oz,6
03398,73836,V05,Conditioner Green Tea Therapy,,15oz,6
03399,73838,V05,Shampoo Vanilla Tea Mint,,15oz,6
03400,73840,V05,Conditioner Vanilla Tea Mint,,15oz,6
03401,73842,V05,Shampoo Silky Champagne Kiss,,15oz,6
03402,73844,V05,Conditioner Silky Champagne Kiss,,15oz,6
03403,73846,V05,Shampoo Silky Lavender Luster,,15oz,6
03404,73848,V05,Conditioner Silky Lavender Luster,,15oz,6
03405,73850,V05,Shampoo Vitaburst Splash,,15oz,6
03406,73852,V05,Conditioner Vitaburst Splash,,15oz,6
03407,73854,V05,Shampoo Vitaburst Surge,,15oz,6
