"031","78349.jpg","Black Radiance","Pressed Powder Café (Deep) #8614 ","#78349","$3.21","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"032","78235.jpg","Black Radiance","Perfect Tone HD Lip Sculptor Brown Sugar Babe #5507 ","#78235","$2.56","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"033","78219.jpg","Black Radiance","Perfect Tone HD Lip Sculptor Divine Diva #5502 ","#78219","$2.56","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"034","78218.jpg","Black Radiance","Perfect Tone HD Lip Sculptor First Lady #5501 ","#78218","$2.56","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"035","78217.jpg","Black Radiance","Perfect Tone Matte Lip Crème Hollywood Hot #5418 ","#78217","$2.41","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"036","78233.jpg","Black Radiance","Perfect Tone HD Lip Sculptor Melanin Princess #5506 ","#78233","$2.56","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"037","78216.jpg","Black Radiance","Perfect Tone Matte Lip Crème Mod Cougar #5417 ","#78216","$2.41","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"038","78205.jpg","Black Radiance","Perfect Tone Matte Lip Crème Pretty Sexy #5413 ","#78205","$2.41","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"039","78237.jpg","Black Radiance","Perfect Tone HD Lip Sculptor Queen B #5508 ","#78237","$2.56","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"040","78214.jpg","Black Radiance","Perfect Tone Matte Lip Crème Sexy Siren #5415 ","#78214","$2.41","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"041","78229.jpg","Black Radiance","Perfect Tone HD Lip Sculptor Slay Queen #5503 ","#78229","$2.56","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"042","78207.jpg","Black Radiance","Perfect Tone Matte Lip Crème Tastemaker #5414 ","#78207","$2.41","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"043","78412.jpg","Black Radiance","Eye Appeal Relentless Volume Mascara Black #CA6439 ","#78412","$3.01","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"044","79235.jpg","Black Radiance","Pencil Sharpener CA6102 ","#79235","$0.61","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"045","78297.jpg","Black Radiance","Shea Radiance Balm ","#78297","$5.14","<\#13>each","Code BH","Minimum 2/48 pcs<\#13>","new_icon.jpg"
"046","78239.jpg","Black Radiance","Color Perfect Foundation Stick Bronze Glow #6819 ","#78239","$6.42","<\#13>each","Code BH","Minimum 2/48 pcs<\#13>","new_icon.jpg"
"047","78243.jpg","Black Radiance","Color Perfect Foundation Stick Brownie #6821 ","#78243","$6.42","<\#13>each","Code BH","Minimum 2/48 pcs<\#13>","new_icon.jpg"
"048","78245.jpg","Black Radiance","Color Perfect Foundation Stick Beautiful Bronze #6822 ","#78245","$6.42","<\#13>each","Code BH","Minimum 2/48 pcs<\#13>","new_icon.jpg"
"049","78241.jpg","Black Radiance","Color Perfect Foundation Stick Cappuccino #6820 ","#78241","$6.42","<\#13>each","Code BH","Minimum 2/48 pcs<\#13>","new_icon.jpg"
"050","78247.jpg","Black Radiance","Color Perfect Foundation Stick Cashmere #6823 ","#78247","$6.42","<\#13>each","Code BH","Minimum 2/48 pcs<\#13>","new_icon.jpg"
